0,1,1437.75,260.38,191.70,489.54,0.85,-1,-1,-1
1,1,1439.01,263.75,191.53,489.10,0.56,-1,-1,-1
2,1,1439.22,264.33,191.51,489.03,0.56,-1,-1,-1
3,1,1439.26,264.45,191.51,489.01,0.57,-1,-1,-1
17,1,1404.06,249.74,208.21,525.72,0.52,-1,-1,-1
18,1,1394.34,230.85,217.09,545.62,0.87,-1,-1,-1
19,1,1387.67,215.17,223.29,560.79,0.90,-1,-1,-1
20,1,1376.44,206.26,229.58,574.70,0.84,-1,-1,-1
20,2,1626.61,216.07,141.75,282.42,0.89,-1,-1,-1
21,1,1354.97,209.17,248.49,627.88,0.34,-1,-1,-1
21,2,1618.59,217.06,142.34,283.26,0.86,-1,-1,-1
22,2,1610.51,216.99,142.87,284.45,0.92,-1,-1,-1
23,2,1603.35,216.06,142.65,285.43,0.94,-1,-1,-1
24,2,1597.28,210.13,144.69,292.06,0.94,-1,-1,-1
24,1,1318.73,218.41,257.98,656.15,0.79,-1,-1,-1
25,2,1593.98,207.88,144.54,295.24,0.94,-1,-1,-1
25,1,1306.13,221.23,257.22,659.32,0.78,-1,-1,-1
26,2,1592.14,206.78,144.47,298.71,0.94,-1,-1,-1
26,1,1284.56,226.41,266.51,684.50,0.90,-1,-1,-1
27,2,1589.33,208.17,145.50,304.33,0.94,-1,-1,-1
27,1,1263.27,239.40,272.30,702.80,0.94,-1,-1,-1
28,2,1587.72,209.76,145.57,308.23,0.94,-1,-1,-1
28,1,1248.03,247.39,273.73,712.39,0.89,-1,-1,-1
29,2,1585.92,212.09,144.75,310.36,0.94,-1,-1,-1
29,1,1229.64,249.93,274.00,718.99,0.92,-1,-1,-1
30,2,1586.14,214.34,142.97,309.24,0.94,-1,-1,-1
30,1,1206.03,252.51,278.82,734.06,0.93,-1,-1,-1
31,2,1584.77,215.66,141.93,308.69,0.94,-1,-1,-1
31,1,1182.25,257.32,291.94,771.57,0.86,-1,-1,-1
32,2,1581.11,216.82,140.91,307.49,0.94,-1,-1,-1
32,1,1158.26,271.38,302.61,800.23,0.91,-1,-1,-1
33,2,1577.65,217.93,139.59,306.50,0.93,-1,-1,-1
33,1,1141.03,283.91,305.00,804.92,0.93,-1,-1,-1
34,2,1568.03,221.02,139.87,306.96,0.94,-1,-1,-1
34,1,1118.11,291.28,308.61,815.47,0.93,-1,-1,-1
35,2,1565.29,221.95,142.05,314.66,0.93,-1,-1,-1
35,1,1100.31,296.34,306.48,811.11,0.93,-1,-1,-1
36,2,1562.72,225.03,140.88,315.63,0.94,-1,-1,-1
36,1,1070.37,300.94,307.43,811.85,0.86,-1,-1,-1
37,2,1558.18,222.75,140.77,319.14,0.95,-1,-1,-1
37,1,1021.93,312.41,314.89,815.56,0.87,-1,-1,-1
38,2,1555.29,222.30,139.78,320.40,0.93,-1,-1,-1
38,1,975.98,324.53,324.37,828.14,0.83,-1,-1,-1
39,2,1554.47,222.54,139.12,321.68,0.93,-1,-1,-1
39,1,961.08,329.18,318.64,810.49,0.87,-1,-1,-1
39,3,661.53,880.34,452.13,604.12,0.59,-1,-1,-1
40,2,1558.93,222.29,138.47,323.54,0.94,-1,-1,-1
40,1,930.52,321.74,326.06,832.64,0.90,-1,-1,-1
40,3,676.55,883.87,431.49,576.07,0.62,-1,-1,-1
41,2,1562.76,221.29,137.74,325.06,0.87,-1,-1,-1
41,1,882.77,306.97,348.05,890.81,0.91,-1,-1,-1
41,3,696.86,882.89,449.93,600.08,0.66,-1,-1,-1
42,2,1565.93,222.55,136.01,323.68,0.92,-1,-1,-1
42,1,846.77,295.45,357.55,913.85,0.86,-1,-1,-1
42,3,659.56,882.55,483.77,648.50,0.62,-1,-1,-1
43,2,1568.10,225.92,133.59,319.97,0.93,-1,-1,-1
43,1,807.14,305.93,366.00,932.50,0.88,-1,-1,-1
43,3,645.92,879.14,514.25,696.19,0.64,-1,-1,-1
